,nodeID,Y_BSsum,X3_Hyb,X2_Err,X1_ILS,,
1,432,NA,,,NA,root,
2,433,97.1,0,100,0.033402329,IN,
3,434,99.6,1.57E-06,100,0.038979114,IN,
4,435,64.9,5.43E-06,100,0.008595902,IN,
5,436,37.3,0,90,0.014253037,IN,
6,437,15.2,2.73E-06,94,0.024560479,IN,
7,438,28.8,5.43E-06,100,0.009430797,IN,
8,439,24.7,0,100,0.036772596,IN,
9,440,99.5,0.001159698,100,0.039385254,IN,
10,441,46,0.009514184,100,0.029981896,IN,
11,442,30.3,0.001758877,91,0.026144617,IN,
12,443,48.8,0.001960884,100,0.010017088,IN,
13,444,62.9,0.00513558,100,0.008218809,IN,
14,445,21,0.009370334,99,0.0101951,IN,
15,446,21.1,0.012192332,100,0.01051178,IN,
16,447,27.7,0.001390994,100,0.003854697,IN,
17,448,31.1,0.000816117,100,0.013006872,IN,
18,449,24.7,0.000896815,100,0.00453493,IN,
19,450,26,0.001146484,100,0.038145919,IN,
20,451,30.3,0.001144951,100,0.006554667,IN,
21,452,18,0.001452655,100,0.014859573,IN,
22,453,28.8,0.004157302,100,0.020904433,IN,
23,454,83.5,0.000706364,100,0.006336558,IN,
24,455,3.21,0.001253537,98,0.0343983,IN,
25,456,15,0.000724194,100,0.028259152,IN,
26,457,5.75,0.000819685,0,Inf,IN,
27,458,7.81,0.000708383,100,7.07E-06,IN,
28,459,40.8,0.000570525,100,0.008829484,IN,
29,460,8.12,0.000774797,100,0.024252677,IN,
30,461,6.26,0.000565091,100,0.039214011,IN,
31,462,11,0.0009186,100,0.018220502,IN,
32,463,33.2,0.001211687,100,0.017526794,IN,
33,464,3.02,0.001451085,100,0.014209749,IN,
34,465,9.22,0.001321072,100,0.039746155,IN,
35,466,18.4,0.000664442,100,0.00413006,IN,
36,467,20.2,0.000787868,100,0.011914405,IN,
37,468,2.37,0.001470768,100,0.012454662,IN,
38,469,37.3,0.000863938,100,0.009794576,IN,
39,470,6.49,0.001558406,100,0.007063443,IN,
40,471,0,0.002564646,100,Inf,IN,
41,472,0.25,0.00147396,100,0.001681923,IN,
42,473,0,0.001513181,100,0.01604517,IN,
43,474,1.25,0.000845016,100,0.003938592,IN,
44,475,0.739,0.000889082,100,0.010462988,IN,
45,476,15.2,0.00083146,100,0.011192189,IN,
46,477,17.8,0.000907407,100,0.029136165,IN,
47,478,1.42,0.000916879,100,0.007971331,IN,
48,479,19.1,0.001244288,100,0.018177403,IN,
49,480,2.19,0.000849746,98,0.019977615,IN,
50,481,16.8,0.000429252,100,0.01637199,IN,
51,482,7.67,0.001039628,100,0.010873137,IN,
52,483,19.3,0.000967176,100,0.0104921,IN,
53,484,5.52,0.001089249,100,0.020160222,IN,
54,485,12.1,0.001358393,100,0.027683392,IN,
55,486,14.2,0.002005005,96,0.014610232,IN,
56,487,21.7,0.002047375,100,0.009027639,IN,
57,488,18.6,0.001510426,100,0.007540276,IN,
