489	7 (T S C E N M A)
Quercus_longispica	1000000
Quercus_marlipoensis	1000000
Quercus_pannosa	1000000
Quercus_phillyreoides	1000000
Quercus_pseudosemecarpifolia	1000000
Quercus_rehderiana	1000000
Quercus_rotundifolia	0001000
Quercus_semecarpifolia	0110000
Quercus_senescens	1000000
Quercus_spinosa	1000000
Quercus_tarokoensis	1000000
Quercus_tungmaiensis	1000000
Quercus_yiwuensis	1000000
Quercus_acerifolia	0000100
Quercus_acherdophylla	0000010
Quercus_acutifolia	0000010
Quercus_affinis	0000010
Quercus_agrifolia	0000110
Quercus_albocincta	0000010
Quercus_arkansana	0000100
Quercus_benthamii	0000010
Quercus_buckleyi	0000100
Quercus_candicans	0000010
Quercus_castanea	0000010
Quercus_coahuilensis	0000010
Quercus_conspersa	0000010
Quercus_conzattii	0000010
Quercus_cortesii	0000010
Quercus_costaricensis	0000010
Quercus_crassifolia	0000010
Quercus_crassipes	0000010
Quercus_crispifolia	0000010
Quercus_cualensis	0000010
Quercus_depressa	0000010
Quercus_devia	0000010
Quercus_duratifolia	0000010
Quercus_durifolia	0000010
Quercus_eduardii	0000010
Quercus_ellipsoidalis	0000100
Quercus_elliptica	0000010
Quercus_emoryi	0000110
Quercus_eugeniifolia	0000010
Quercus_falcata	0000100
Quercus_floccosa	0000010
Quercus_fulva	0000010
Quercus_furfuracea	0000010
Quercus_galeanensis	0000010
Quercus_gentryi	0000010
Quercus_graciliformis	0000110
Quercus_gracilior	0000010
Quercus_grahamii	0000010
Quercus_gravesii	0000110
Quercus_gulielmi_treleasei	0000010
Quercus_hintonii	0000010
Quercus_hintoniorum	0000010
Quercus_humboldtii	0000010
Quercus_hypoleucoides	0000110
Quercus_hypoxantha	0000010
Quercus_imbricaria	0000100
Quercus_jonesii	0000010
Quercus_knoblochii	0000010
Quercus_laurina	0000010
Quercus_macvaughii	0000010
Quercus_marilandica	0000100
Quercus_mexicana	0000010
Quercus_miquihuanensis	0000010
Quercus_nigra	0000100
Quercus_nixoniana	0000010
Quercus_ocoteifolia	0000010
Quercus_palustris	0000100
Quercus_paxtalensis	0000010
Quercus_peninsularis	0000010
Quercus_phellos	0000100
Quercus_pinnativenulosa	0000010
Quercus_planipocula	0000010
Quercus_radiata	0000010
Quercus_rapurahuensis	0000010
Quercus_rubra	0000100
Quercus_rugulosa	0000010
Quercus_rysophylla	0000010
Quercus_salicifolia	0000010
Quercus_saltillensis	0000010
Quercus_sapotifolia	0000010
Quercus_sartorii	0000010
Quercus_scytophylla	0000010
Quercus_seemannii	0000010
Quercus_shumardii	0000100
Quercus_sideroxyla	0000010
Quercus_skinneri	0000010
Quercus_tarahumara	0000010
Quercus_tardifolia	0000110
Quercus_tonduzii	0000010
Quercus_tridens	0000010
Quercus_trinitatis	0000010
Quercus_tristis	0000010
Quercus_tuitensis	0000010
Quercus_urbanii	0000010
Quercus_uxoris	0000010
Quercus_velutina	0000100
Quercus_vexans	0000010
Quercus_viminea	0000010
Quercus_wislizeni	0000110
Quercus_xalapensis	0000010
Lithocarpus_annamensis	0100000
Lithocarpus_bancanus	0100000
Lithocarpus_blumeanus	0100000
Lithocarpus_braianensis	0100000
Lithocarpus_brassii	0100000
Lithocarpus_bullatus	0100000
Lithocarpus_calolepis	1000000
Lithocarpus_cantleyanus	0100000
Lithocarpus_celebicus	0100000
Lithocarpus_cleistocarpus	1000000
Lithocarpus_confinis	1000000
Lithocarpus_corneus	1100000
Lithocarpus_craibianus	1100000
Lithocarpus_dealbatus	1100000
Lithocarpus_echinotholus	1100000
Lithocarpus_elaeagnifolius	0100000
Lithocarpus_ewyckii	0100000
Lithocarpus_falconeri	0100000
Lithocarpus_farinulentus	1100000
Lithocarpus_fenestratus	1100000
Lithocarpus_ferrugineus	0100000
Lithocarpus_fordianus	1100000
Lithocarpus_garrettianus	1100000
Lithocarpus_glaber	1000000
