species	genusID	sectionID
POsadleriana_P009_WD05_A	Quercus	PO
POpontica_P002_WC09_A	Quercus	PO
PRchrysolepis_trans_A	Quercus	PR
PRpalmeri_P002_WC12_A	Quercus	PR
PRtomentella_F005_WH01_A	Quercus	PR
PRvaccinifolia_P005_WB06_A	Quercus	PR
QUalba_trans_A	Quercus	QU
QUdumosa_P010_WC12_A	Quercus	QU
QUprinoides_P008_WF02_A	Quercus	QU
QUfabrei_F086_WF02_A	Quercus	QU
QUmongolica_F087_WC06_A	Quercus	QU
QUrobur_F079_WC04_A	Quercus	QU
QUpubescens_P011_WF08_A	Quercus	QU
QUserrata_F079_WC07_A	Quercus	QU
QUturbinella_F079_WB01_A	Quercus	QU
QUberberidifolia_F087_WA10_A	Quercus	QU
QUinfectoria_F101_WD03_A	Quercus	QU
QUjohn_tuckeri_F086_WG02_SNP	Quercus	QU
QUoglethorpensis_P008_WF03_A	Quercus	QU
QUpraeco_F079_WE09_A	Quercus	QU
NNhinckleyi_P010_WC07_A	Quercus	QU
QUarizonica_F084_WH05_A	Quercus	QU
QUinvaginata_F079_WE07_A	Quercus	QU
QUverde_P028_WF03_A	Quercus	QU
QUglabrescens_F079_WC09_A	Quercus	QU
QUresinosa_F079_WE04_A	Quercus	QU
VIoleoides_F101_WD06_A	Quercus	VI
VIvirginiana_trans_A	Quercus	VI
VIgeminata_F086_WG06_A	Quercus	VI
VIfusiformis_F079_WB09_A	Quercus	VI
VIbrandegeei_F087_WC05_A	Quercus	VI
