species genusID subgenusID sectionID OW_NW
LPannamensis_P001_WB08 Lithocarpus Lithocarpus Lithocarpus OW
LPglaber_F098_WH04 Lithocarpus Lithocarpus Lithocarpus OW
LPsilvicolarum_P001_WC05 Lithocarpus Lithocarpus Lithocarpus OW
LPcraibianus_P001_WB11 Lithocarpus Lithocarpus Lithocarpus OW
LPmairei_P001_WC04 Lithocarpus Lithocarpus Lithocarpus OW
LPhenryi_P020_WA08 Lithocarpus Lithocarpus Lithocarpus OW
LPlitseifolius_F116_WG10 Lithocarpus Lithocarpus Lithocarpus OW
LPtaitoensis_F118_WG03 Lithocarpus Lithocarpus Lithocarpus OW
LPelaeagnifolius_P001_WC02 Lithocarpus Lithocarpus Lithocarpus OW
LPmegalophyllus_F039_WC01 Lithocarpus Lithocarpus Lithocarpus OW
LPechinotholus_P001_WC01 Lithocarpus Lithocarpus Lithocarpus OW
LPhancei_trans_A Lithocarpus Lithocarpus Lithocarpus OW
LPlaetus_P001_WC03 Lithocarpus Lithocarpus Lithocarpus OW
LPhaipinii_U01_WG02 Lithocarpus Lithocarpus Lithocarpus OW
LPvariolosus_U03_WH05 Lithocarpus Lithocarpus Lithocarpus OW
NLdensiflorus_K003_WA07 Notholithocarpus Notholithocarpus Notholithocarpus NW
POsadleriana_P009_WD05_A Quercus Quercus PO NW
POpontica_P002_WC09_A Quercus Quercus PO OW
PRchrysolepis_trans_A Quercus Quercus PR NW
PRpalmeri_P002_WC12_A Quercus Quercus PR NW
PRtomentella_F005_WH01_A Quercus Quercus PR NW
PRvaccinifolia_P005_WB06_A Quercus Quercus PR NW
QUalba_trans_A Quercus Quercus QU NW
QUdumosa_P010_WC12_A Quercus Quercus QU NW
QUprinoides_P008_WF02_A Quercus Quercus QU NW
QUfabrei_F086_WF02_A Quercus Quercus QU OW
QUmongolica_F087_WC06_A Quercus Quercus QU OW
QUrobur_F079_WC04_A Quercus Quercus QU OW
QUpubescens_P011_WF08_A Quercus Quercus QU OW
QUserrata_F079_WC07_A Quercus Quercus QU OW
QUturbinella_F079_WB01_A Quercus Quercus QU NW
QUberberidifolia_F087_WA10_A Quercus Quercus QU NW
QUinfectoria_F101_WD03_A Quercus Quercus QU OW
QUjohn_tuckeri_F086_WG02_SNP Quercus Quercus QU NW
QUoglethorpensis_P008_WF03_A Quercus Quercus QU NW
QUpraeco_F079_WE09_A Quercus Quercus QU NW
NNhinckleyi_P010_WC07_A Quercus Quercus QU NW
QUarizonica_F084_WH05_A Quercus Quercus QU NW
QUinvaginata_F079_WE07_A Quercus Quercus QU NW
QUverde_P028_WF03_A Quercus Quercus QU NW
QUglabrescens_F079_WC09_A Quercus Quercus QU NW
QUresinosa_F079_WE04_A Quercus Quercus QU NW
VIoleoides_F101_WD06_A Quercus Quercus VI NW
VIvirginiana_trans_A Quercus Quercus VI NW
VIgeminata_F086_WG06_A Quercus Quercus VI NW
VIfusiformis_F079_WB09_A Quercus Quercus VI NW
VIbrandegeei_F087_WC05_A Quercus Quercus VI NW
