ID,NicheRecon_tip,Bioregion_singleFossil,Bioregion_comprehensive,Stage_mean,Age_mean,Age_max,Age_min,Latitude,Longitude,paleoLong,paleoLat,age,layer,cellNumber,CMM,DryMon,MAP,MAT,WetDryMon,WetMon,WMM,WMMCMM,dup.fossil_time_cell
102,*Antiquacupula_sulcata,NA,NA,Santonian,84.275,84.95,83.6,32.62972222,-83.98611111,-53.4128,32.5307,84,teydr1,2978000,13.2910757064819,60.2772750854492,1176.55297851562,23.5857639312744,81.5419692993164,141.819244384766,34.3128662109375,21.0217914581299,FALSE
2697,*Castanea_fujiyamae,EA,EA,Lutetian,42.9,47.8,38,42.99833333,126.8661111,120.7662,44.6802,43,teydj1,2349370,-9.85409355163574,29.8534393310547,1115.0947265625,14.9015483856201,134.783447265625,164.63688659668,36.8516654968262,46.7057571411133,FALSE
2298,*Castanea_fujiyamae,,,Rupelian,31,33.9,28.1,42.45,130.4,126.636,43.4403,31,teydg1,2414240,-13.3947591781616,26.0268802642822,1346.68762207031,13.4742670059204,175.210983276367,201.237869262695,36.4718132019043,49.8665733337402,FALSE
77,*Castaneoidea_puryearensis,NA,NA,Lutetian,42.9,47.8,38,36.432675,-88.333291,-77.5021,37.3996,43,teydj1,2727150,10.5533027648926,35.6452827453613,920.773498535156,25.0686416625977,71.3593826293945,107.004661560059,42.8642234802246,32.310920715332,FALSE
982,*Castanopsis_changchangensis,SEA,SEA,Lutetian,42.9,47.8,38,19.63416667,110.4511111,109.6017,20.3201,43,teydj1,3614996,22.2940998077393,11.0798835754395,1827.03723144531,28.7366580963135,453.551055908203,464.630920410156,33.178337097168,10.884238243103,FALSE
903,*Chrysolepis_chrysophylloides,NA,NA,Lutetian,44.95,56,33.9,39.21629,-120.8805,-105.4395,41.2345,45,teydj1,2528095,2.94206404685974,7.39210224151611,1497.0087890625,13.7313289642334,280.795135498047,288.187255859375,27.947639465332,25.0055751800537,FALSE
906,*Chrysolepis_chrysophylloides,,,Zanclean,3.9605,5.333,2.588,38.18656,-122.53982,-121.1601,38.1357,4,teydb1,2687747,6.1938648223877,8.10250854492188,861.97021484375,14.2250499725342,163.692916870117,171.79541015625,23.7293548583984,17.5354919433594,FALSE
905,*Chrysolepis_chrysophylloides,,,Langhian,14.1815,23.03,5.333,41.545,-120.7436,-115.9839,41.4145,14,teydd1,2519329,-3.67898106575012,17.1038208007812,1567.95971679688,7.57435607910156,281.040557861328,298.144378662109,21.0611419677734,24.7401256561279,FALSE
6,*Castanopsis_crepetii,NA,NA,Ypresian,48.32,48.32,48.32,44.94333333,-120.4261111,-103.0239,47.5983,48,teydj1,2195484,-0.551151752471924,39.3077278137207,1172.15539550781,12.1307992935181,114.064254760742,153.371978759766,29.2063941955566,29.7575454711914,FALSE
671,*Castanopsis_elisabethae,EU,EU,Serravallian,12.809,23.03,2.588,42.67455,24.833081,24.2856,42.0534,13,teydd1,2486452,0.88908863067627,14.2306480407715,419.713745117188,14.4595975875854,39.0268096923828,53.2574577331543,31.9764728546143,31.0873832702637,FALSE
672,*Castanopsis_pliovariabilis,EU,EU,Serravallian,12.809,23.03,2.588,42.67455,24.833081,24.2856,42.0534,13,teydd1,2486452,0.88908863067627,14.2306480407715,419.713745117188,14.4595975875854,39.0268096923828,53.2574577331543,31.9764728546143,31.0873832702637,FALSE
1,*Castanopsis_rothwellii,SA,SA,Ypresian,52.2,52.2,52.2,-42.4675,-70.03672222,-59.986,-44.9145,52,teydk1,6991201,8.855712890625,90.4296112060547,1868.14453125,14.7157697677612,115.410293579102,205.839920043945,23.2736701965332,14.4179582595825,FALSE
1254,*Castanopsis_salinarum,,,Rupelian,28.465,33.9,23.03,50.21636,12.443,9.2932,49.955,28,teydg1,2075872,1.99341976642609,3.42231583595276,758.827331542969,15.4233198165894,91.4387588500977,94.8610763549805,34.8719139099121,32.8784942626953,FALSE
1493,*Castanopsis_salinarum,EU,EU,Lutetian,44.95,56,33.9,51.419669,9.867914,6.1605,48.393,45,teydj1,2157914,5.09171724319458,8.50972080230713,971.404296875,17.6817150115967,120.869201660156,129.378921508789,37.7662773132324,32.674560546875,FALSE
15,*Castanopsis_salinarum,,,Burdigalian,17.325,23.03,11.62,51.419669,9.867914,8.2153,51.5931,17,teyde1,1989459,-3.78957366943359,19.3230972290039,780.423950195312,10.3688688278198,68.3785629272461,87.7016525268555,30.6218566894531,34.4114303588867,FALSE
23,*Castanopsis_tanaii,EA,EA,Priabonian,35.95,38,33.9,34.173865,131.496036,126.4189,41.1553,36,teydh1,2535198,-5.61297464370728,27.5731716156006,1507.94885253906,17.7326850891113,222.602432250977,250.175598144531,36.0166511535645,41.6296272277832,FALSE
8,*Castanopsoidea_columbiana,NA,NA,Ypresian,56,56,56,36.346481,-88.660626,-70.8923,38.9098,56,teydl1,2649470,8.00423336029053,61.7144927978516,1111.48291015625,21.247652053833,66.4376754760742,128.152160644531,37.3141937255859,29.3099613189697,FALSE
2616,*Eotrigonobalanus,,,Lutetian,44.95,56,33.9,50.110422,12.574805,8.7702,47.1407,45,teydj1,2222746,5.0865592956543,9.11052227020264,889.01611328125,18.391788482666,107.01448059082,116.125,39.5248794555664,34.4383201599121,FALSE
1785,*Eotrigonobalanus,,,Chattian,25.565,28.1,23.03,51.25,12.45,9.5701,51.0932,26,teydf1,2015395,-1.40773642063141,8.04823017120361,708.7919921875,13.1974277496338,79.5852279663086,87.6334533691406,36.5346870422363,37.9424209594727,FALSE
