CEafares_P005_WC11_A,Quercus,Cerris,CE
CElibani_P004_WD10_A,Quercus,Cerris,CE
CEtrojana_P002_WF07_A,Quercus,Cerris,CE
CEithaburensis_P002_WE12_A,Quercus,Cerris,CE
CEcerris_trans_A,Quercus,Cerris,CE
CEsuber_F079_WC02_A,Quercus,Cerris,CE
CEvariabilis_trans_A,Quercus,Cerris,CE
CEacutissima_F087_WB04_A,Quercus,Cerris,CE
CYchrysotricha_P017_WB09_A,Quercus,Cerris,CY
CYhondae_P005_WD07_A,Quercus,Cerris,CY
CYlobbii_P004_WD03_A,Quercus,Cerris,CY
CYpinbianensis_P001_WE12_SNS,Quercus,Cerris,CY
CYsichourensis_P001_WE10_A,Quercus,Cerris,CY
CYthomsoniana_P005_WB01_A,Quercus,Cerris,CY
CYxanthotricha_P017_WB06_A,Quercus,Cerris,CY
CYtiaoloshanica_P001_WD07_A,Quercus,Cerris,CY
CYdaimingshanensis_P003_WE02_A,Quercus,Cerris,CY
CYlitseoides_F086_WG09_A,Quercus,Cerris,CY
CYmeihuashanensis_P001_WE09_SNU,Quercus,Cerris,CY
CYpercoriacea_P005_WB03_A,Quercus,Cerris,CY
CYxanthoclada_P002_WF03_A,Quercus,Cerris,CY
CYmerrillii_P005_WD01_A,Quercus,Cerris,CY
CYgaharuensis_P008_WG02_A,Quercus,Cerris,CY
CYkinabaluensis_P002_WF02_A,Quercus,Cerris,CY
CYkouangsiensis_P001_WE08_A,Quercus,Cerris,CY
CYchevalieri_P003_WE03_A,Quercus,Cerris,CY
CYrex_P001_WD08_A,Quercus,Cerris,CY
CYthorelii_P001_WD06_A,Quercus,Cerris,CY
CYedithiae_P010_WE12_A,Quercus,Cerris,CY
CYasymmetrica_P014_WG01_A,Quercus,Cerris,CY
CYdisciformis_P001_WH01_A,Quercus,Cerris,CY
CYphanera_P010_WC01_A,Quercus,Cerris,CY
CYhypophaea_P004_WF06_A,Quercus,Cerris,CY
NNmiyagii_P004_WE12_A,Quercus,Cerris,CY
CYaustrocochinchinensis_P001_WB05_A,Quercus,Cerris,CY
CYmultinervis_F118_WG05_SNK,Quercus,Cerris,CY
CYannulata_P030_WC01_A,Quercus,Cerris,CY
CYsemiserrata_F086_WG12_A,Quercus,Cerris,CY
CYgambleana_F100_WA07_A,Quercus,Cerris,CY
CYoidocarpa_P005_WB02_A,Quercus,Cerris,CY
CYchapensis_P010_WE04_A,Quercus,Cerris,CY
CYchungii_P010_WC03_A,Quercus,Cerris,CY
CYhypargyrea_P010_WE06_ANP,Quercus,Cerris,CY
CYaugustinii_P010_WE11_A,Quercus,Cerris,CY
CYmorii_P010_WB12_A,Quercus,Cerris,CY
CYmespilifolia_P005_WG09_A,Quercus,Cerris,CY
CYauricoma_F097_WH09_ANU,Quercus,Cerris,CY
CYjenseniana_P011_WF06_A,Quercus,Cerris,CY
CYstewardiana_F100_WA06_A,Quercus,Cerris,CY
ILgracilis_P010_WF01_SNP,Quercus,Cerris,CY
CYhelferiana_F118_WG08_A,Quercus,Cerris,CY
CYdelavayi_F100_WA04_A,Quercus,Cerris,CY
ILlanata_P011_WB01_A,Quercus,Cerris,CY
CYlineata_F105_WA04_A,Quercus,Cerris,CY
CYpachyloma_P005_WG08_A,Quercus,Cerris,CY
CYlonginux_U03_WC07_A,Quercus,Cerris,CY
CYciliaris_F039_WB10_SNP,Quercus,Cerris,CY
CYstenophylloides_P008_WA02_A,Quercus,Cerris,CY
CYschottkyana_F087_WB06_A,Quercus,Cerris,CY
CYoxyodon_F087_WB01_A,Quercus,Cerris,CY
CYsessilifolia_F079_WB10_A,Quercus,Cerris,CY
CYsalicina_P011_WF11_A,Quercus,Cerris,CY
CYmyrsinifolia_F087_WB10_A,Quercus,Cerris,CY
CYglauca_F098_WA02_A,Quercus,Cerris,CY
ILhandeliana_P001_WG10_SNS,Quercus,Cerris,IL
ILmarlipoensis_P003_WE07_SNP,Quercus,Cerris,IL
ILyiwuensis_P003_WE05_HN,Quercus,Cerris,IL
ILlodicosa_P019_WF02_A,Quercus,Cerris,IL
ILfimbriata_P019_WG03_HN,Quercus,Cerris,IL
ILtungmaiensis_P003_WE04_SNS,Quercus,Cerris,IL
ILpseudosemecarpifolia_P005_WG10_SNP,Quercus,Cerris,IL
ILtarokoensis_F079_WA12_A,Quercus,Cerris,IL
ILlongispica_P009_WC12_SNP,Quercus,Cerris,IL
ILacrodonta_P005_WD08_A,Quercus,Cerris,IL
ILfloribunda_P004_WC09_A,Quercus,Cerris,IL
ILcocciferoides_F087_WB11_A,Quercus,Cerris,IL
ILbaloot_P001_WD05_A,Quercus,Cerris,IL
ILfranchetii_F086_WF06_A,Quercus,Cerris,IL
ILgilliana_F086_WF01_SNK,Quercus,Cerris,IL
ILbaronii_F086_WH02_A,Quercus,Cerris,IL
ILrehderiana_F087_WB05_A,Quercus,Cerris,IL
ILdolicholepis_F086_WE12_A,Quercus,Cerris,IL
ILguyavifolia_F086_WE06_A,Quercus,Cerris,IL
ILpannosa_F079_WE02_A,Quercus,Cerris,IL
ILsenescens_F079_WG06_A,Quercus,Cerris,IL
ILengleriana_F079_WC01_A,Quercus,Cerris,IL
ILsemecarpifolia_F086_WF08_A,Quercus,Cerris,IL
ILphillyreoides_F086_WG10_A,Quercus,Cerris,IL
ILaquifolioides_F079_WB02_A,Quercus,Cerris,IL
ILspinosa_P011_WF10_A,Quercus,Cerris,IL
ILrotundifolia_P010_WB09_SNS,Quercus,Cerris,IL
ILcoccifera_F082_WB12_A,Quercus,Cerris,IL
ILilex_P009_WD07_A,Quercus,Cerris,IL
NNmulleri_P017_WA12_SNS,Quercus,Quercus,LO
LOgracilior_P011_WG09_A,Quercus,Quercus,LO
LOnixoniana_P011_WE11_A,Quercus,Quercus,LO
LOduratifolia_P009_WG09_SS,Quercus,Quercus,LO
LOgraciliformis_P012_WB07_SP,Quercus,Quercus,LO
LOtuitensis_F079_WF08_A,Quercus,Quercus,LO
LOmiquihuanensis_P002_WD01_A,Quercus,Quercus,LO
NNflocculenta_P018_WA07_A,Quercus,Quercus,LO
LOknoblochii_P022_WG07_HN,Quercus,Quercus,LO
LOcoahuilensis_P022_WH05_A,Quercus,Quercus,LO
LOpaxtalensis_P009_WG08_SNP,Quercus,Quercus,LO
LOacerifolia_P011_WH03_A,Quercus,Quercus,LO
LOacherdophylla_P009_WD01_A,Quercus,Quercus,LO
LOgulielmi_treleasei_P009_WD06_A,Quercus,Quercus,LO
LOfurfuracea_P012_WD01_A,Quercus,Quercus,LO
LOgaleanensis_P012_WC12_A,Quercus,Quercus,LO
LOtridens_P004_WE06_SS,Quercus,Quercus,LO
LOtrinitatis_P006_WH05_SP,Quercus,Quercus,LO
NNchasei_F087_WA12_SU,Quercus,Quercus,LO
LOradiata_P011_WE09_A,Quercus,Quercus,LO
LOtarahumara_F079_WG05_A,Quercus,Quercus,LO
LOdevia_F086_WG08_A,Quercus,Quercus,LO
LOrapurahuensis_P011_WG12_SS,Quercus,Quercus,LO
LOcrispifolia_F086_WG07_A,Quercus,Quercus,LO
LOtristis_P009_WG12_SP,Quercus,Quercus,LO
LOhintoniorum_P004_WD12_A,Quercus,Quercus,LO
LOpinnativenulosa_P009_WB07_A,Quercus,Quercus,LO
LOdepressa_F079_WE11_A,Quercus,Quercus,LO
LOhintonii_F086_WG05_A,Quercus,Quercus,LO
LOhypoxantha_F084_WG03_A,Quercus,Quercus,LO
LOeugeniifolia_P012_WC09_SP,Quercus,Quercus,LO
LOmacvaughii_F079_WG04_A,Quercus,Quercus,LO
LObuckleyi_P026_WB11_A,Quercus,Quercus,LO
LOsaltilensis_F084_WG02_A,Quercus,Quercus,LO
LOplanipocula_F079_WG03_A,Quercus,Quercus,LO
LOarkansana_trans_A,Quercus,Quercus,LO
LOalbocincta_F087_WA04_A,Quercus,Quercus,LO
LOrysophylla_F087_WA11_A,Quercus,Quercus,LO
LOcostaricensis_F086_WF07_A,Quercus,Quercus,LO
LOuxoris_P010_WE08_A,Quercus,Quercus,LO
LOcortesii_F084_WH03_A,Quercus,Quercus,LO
LOpeninsularis_F087_WB07_A,Quercus,Quercus,LO
LOconzattii_F087_WA03_ANP,Quercus,Quercus,LO
LOgravesii_F086_WH05_A,Quercus,Quercus,LO
LOocoteifolia_F087_WA01_A,Quercus,Quercus,LO
LOfulva_F079_WG07_A,Quercus,Quercus,LO
LOskinneri_F079_WF12_A,Quercus,Quercus,LO
LObenthamii_trans_A,Quercus,Quercus,LO
LOseemannii_F084_WH04_A,Quercus,Quercus,LO
LOdurifolia_F084_WG11_A,Quercus,Quercus,LO
LOurbani_F079_WB05_A,Quercus,Quercus,LO
LOsartorii_P009_WG10_ANP,Quercus,Quercus,LO
LOgrahamii_P011_WC11_A,Quercus,Quercus,LO
LOgentryi_F079_WC08_A,Quercus,Quercus,LO
LOconspersa_F079_WG02_SP,Quercus,Quercus,LO
LOviminea_F087_WA05_A,Quercus,Quercus,LO
LOxalapensis_F086_WF05_A,Quercus,Quercus,LO
LOjonesii_F101_WD08_SNU,Quercus,Quercus,LO
LOsalicifolia_F001_WD01_A,Quercus,Quercus,LO
LOhumboldtii_P004_WD04_A,Quercus,Quercus,LO
LOaffinis_F079_WB06_A,Quercus,Quercus,LO
LOscythophylla_F079_WC12_A,Quercus,Quercus,LO
LOhypoleucoides_F118_WE08_A,Quercus,Quercus,LO
LOsapotifolia_F079_WF01_A,Quercus,Quercus,LO
LOelliptica_K010_WH05_A,Quercus,Quercus,LO
LOsideroxyla_F079_WE06_A,Quercus,Quercus,LO
LOeduardii_F086_WH10_A,Quercus,Quercus,LO
LOmexicana_F001_WD02_A,Quercus,Quercus,LO
LOcrassipes_F079_WC06_A,Quercus,Quercus,LO
LOcandicans_F087_WB03_A,Quercus,Quercus,LO
LOacutifolia_U02_WG09_A,Quercus,Quercus,LO
LOemoryi_F001_WC12_A,Quercus,Quercus,LO
LOcrassifolia_F101_WD12_A,Quercus,Quercus,LO
LOlaurina_F087_WC01_A,Quercus,Quercus,LO
LOshumardii_trans_A,Quercus,Quercus,LO
LOimbricaria_trans_A,Quercus,Quercus,LO
LOpalustris_F079_WF02_A,Quercus,Quercus,LO
LOagrifolia_F087_WB08_A,Quercus,Quercus,LO
LOwislizeni_F079_WF10_A,Quercus,Quercus,LO
LOcastanea_F079_WB07_A,Quercus,Quercus,LO
LOellipsoidalis_F086_WE10_A,Quercus,Quercus,LO
LOphellos_F079_WE12_A,Quercus,Quercus,LO
LOmarilandica_trans_A,Quercus,Quercus,LO
LOfalcata_trans_A,Quercus,Quercus,LO
LOnigra_trans_A,Quercus,Quercus,LO
LOvelutina_trans_A,Quercus,Quercus,LO
LOrubra_SRR1778919_A,Quercus,Quercus,LO
POpontica_P002_WC09_A,Quercus,Quercus,PO
POsadleriana_P009_WD05_A,Quercus,Quercus,PO
PRcedrosensis_F086_WG11_A,Quercus,Quercus,PR
PRtomentella_F005_WH01_A,Quercus,Quercus,PR
PRpalmeri_P002_WC12_A,Quercus,Quercus,PR
PRvaccinifolia_P005_WB06_A,Quercus,Quercus,PR
PRchrysolepis_trans_A,Quercus,Quercus,PR
QUcongesta_P017_WB04_A,Quercus,Quercus,QU
QUtoxicodendrifolia_P010_WD05_ANP,Quercus,Quercus,QU
NNhinckleyi_P010_WC07_A,Quercus,Quercus,QU
QUprinopsis_P003_WG05_SP,Quercus,Quercus,QU
QUpilicaulis_P017_WB03_SP,Quercus,Quercus,QU
QUschenkiana_P004_WE05_SP,Quercus,Quercus,QU
QUboyntonii_trans_A,Quercus,Quercus,QU
QUrekonis_F086_WE05_A,Quercus,Quercus,QU
QUmacdougallii_F086_WH09_A,Quercus,Quercus,QU
QUtransmontana_P010_WB11_SP,Quercus,Quercus,QU
QUalveolata_P009_WG11_SP,Quercus,Quercus,QU
QUexcelsa_P010_WE07_SP,Quercus,Quercus,QU
QUhartwissiana_P002_WC08_A,Quercus,Quercus,QU
QUperpallida_P009_WB08_A,Quercus,Quercus,QU
QUoglethorpensis_P008_WF03_A,Quercus,Quercus,QU
QUcentralis_P011_WE01_SP,Quercus,Quercus,QU
QUwutaishanica_F079_WE08_ANP,Quercus,Quercus,QU
NNwelshii_P002_WD02_A,Quercus,Quercus,QU
QUopaca_P022_WG04_A,Quercus,Quercus,QU
QUajoensis_P011_WH01_A,Quercus,Quercus,QU
QUlaxa_F087_WC02_SNU,Quercus,Quercus,QU
QUpraeco_F079_WE09_A,Quercus,Quercus,QU
QUvicentensis_F087_WB12_A,Quercus,Quercus,QU
NNtinkhamii_P003_WG02_A,Quercus,Quercus,QU
QUconvallata_F101_WD11_A,Quercus,Quercus,QU
QUleiophylla_F101_WD09_A,Quercus,Quercus,QU
QUpurulhana_K010_WC08_A,Quercus,Quercus,QU
QUsimilis_P009_WD03_A,Quercus,Quercus,QU
QUmacranthera_F086_WE09_A,Quercus,Quercus,QU
