FBD_tiplabel,renameSequencingData,Name.v3,nicheRecon,genus,gen_sect.abb
LPbrassii_F105_WA06_0,LPbrassii_F105_WA06,Lithocarpus_brassii,Y,Lithocarpus,LP
LPbullatus_F097_WF03_0,LPbullatus_F097_WF03,Lithocarpus_bullatus,Y,Lithocarpus,LP
LPcalolepis_P001_WB09_0,LPcalolepis_P001_WB09,Lithocarpus_calolepis,Y,Lithocarpus,LP
LPcantleyanus_F094_WG04_0,LPcantleyanus_F094_WG04,Lithocarpus_cantleyanus,Y,Lithocarpus,LP
LPcelebicus_F104_WH12_0,LPcelebicus_F104_WH12,Lithocarpus_celebicus,Y,Lithocarpus,LP
LPcleistocarpus_F097_WH07_0,LPcleistocarpus_F097_WH07,Lithocarpus_cleistocarpus,Y,Lithocarpus,LP
LPconfinis_F118_WG04_0,LPconfinis_F118_WG04,Lithocarpus_confinis,Y,Lithocarpus,LP
LPcorneus_P001_WB10_0,LPcorneus_P001_WB10,Lithocarpus_corneus,Y,Lithocarpus,LP
LPcraibianus_P001_WB11_0,LPcraibianus_P001_WB11,Lithocarpus_craibianus,Y,Lithocarpus,LP
LPdealbatus_K003_WA06_0,LPdealbatus_K003_WA06,Lithocarpus_dealbatus,Y,Lithocarpus,LP
LPechinotholus_P001_WC01_0,LPechinotholus_P001_WC01,Lithocarpus_echinotholus,Y,Lithocarpus,LP
LPelaeagnifolius_P001_WC02_0,LPelaeagnifolius_P001_WC02,Lithocarpus_elaeagnifolius,Y,Lithocarpus,LP
LPewyckii_F104_WH03_0,LPewyckii_F104_WH03,Lithocarpus_ewyckii,Y,Lithocarpus,LP
LPfalconeri_F097_WF02_0,LPfalconeri_F097_WF02,Lithocarpus_falconeri,Y,Lithocarpus,LP
LPfarinulentus_K003_WC01_0,LPfarinulentus_K003_WC01,Lithocarpus_farinulentus,Y,Lithocarpus,LP
LPfenestratus_F039_WC02_0,LPfenestratus_F039_WC02,Lithocarpus_fenestratus,Y,Lithocarpus,LP
LPferrugineus_F104_WH02_0,LPferrugineus_F104_WH02,Lithocarpus_ferrugineus,Y,Lithocarpus,LP
LPfordianus_F097_WF06_0,LPfordianus_F097_WF06,Lithocarpus_fordianus,Y,Lithocarpus,LP
LPgarrettianus_F097_WG01_0,LPgarrettianus_F097_WG01,Lithocarpus_garrettianus,Y,Lithocarpus,LP
LPglaber_F098_WH04_0,LPglaber_F098_WH04,Lithocarpus_glaber,Y,Lithocarpus,LP
LPgracilis_F094_WG10_0,LPgracilis_F094_WG10,Lithocarpus_gracilis,Y,Lithocarpus,LP
LPhaipinii_U01_WG02_0,LPhaipinii_U01_WG02,Lithocarpus_haipinii,Y,Lithocarpus,LP
LPhancei_trans_A_0,LPhancei_trans_A,Lithocarpus_hancei,Y,Lithocarpus,LP
LPharlandii_F098_WA03_0,LPharlandii_F098_WA03,Lithocarpus_harlandii,Y,Lithocarpus,LP
LPhenryi_P020_WA08_0,LPhenryi_P020_WA08,Lithocarpus_henryi,Y,Lithocarpus,LP
LPimperialis_F076_WH12_0,LPimperialis_F076_WH12,Lithocarpus_imperialis,Y,Lithocarpus,LP
LPjavensis_F104_WH06_0,LPjavensis_F104_WH06,Lithocarpus_javensis,Y,Lithocarpus,LP
LPlaetus_P001_WC03_0,LPlaetus_P001_WC03,Lithocarpus_laetus,Y,Lithocarpus,LP
LPlauterbachii_F104_WH07_0,LPlauterbachii_F104_WH07,Lithocarpus_lauterbachii,Y,Lithocarpus,LP
LPlepidocarpus_F097_WG06_0,LPlepidocarpus_F097_WG06,Lithocarpus_lepidocarpus,Y,Lithocarpus,LP
LPlitseifolius_F116_WG10_0,LPlitseifolius_F116_WG10,Lithocarpus_litseifolius,Y,Lithocarpus,LP
LPmairei_P001_WC04_0,LPmairei_P001_WC04,Lithocarpus_mairei,Y,Lithocarpus,LP
LPmariae_F105_WA12_0,LPmariae_F105_WA12,Lithocarpus_mariae,Y,Lithocarpus,LP
LPmegacarpus_F104_WH05_0,LPmegacarpus_F104_WH05,Lithocarpus_megacarpus,Y,Lithocarpus,LP
LPmegalophyllus_F039_WC01_0,LPmegalophyllus_F039_WC01,Lithocarpus_megalophyllus,Y,Lithocarpus,LP
LPpapillifer_F008_WB09_0,LPpapillifer_F008_WB09,Lithocarpus_papillifer,Y,Lithocarpus,LP
LPplatycarpus_F104_WH01_0,LPplatycarpus_F104_WH01,Lithocarpus_platycarpus,Y,Lithocarpus,LP
LPpolystachyus_SRR10238508_A_0,LPpolystachyus_SRR10238508_A,Lithocarpus_polystachyus,Y,Lithocarpus,LP
LPpulcher_F114_WG04_0,LPpulcher_F114_WG04,Lithocarpus_pulcher,Y,Lithocarpus,LP
LPpycnostachys_F097_WF05_0,LPpycnostachys_F097_WF05,Lithocarpus_pycnostachys,Y,Lithocarpus,LP
LPrassa_F114_WB03_0,LPrassa_F114_WB03,Lithocarpus_rassa,Y,Lithocarpus,LP
LPreinwardtii_F097_WF07_0,LPreinwardtii_F097_WF07,Lithocarpus_reinwardtii,Y,Lithocarpus,LP
LPrevolutus_F115_WD12_0,LPrevolutus_F115_WD12,Lithocarpus_revolutus,Y,Lithocarpus,LP
LProtundatus_F114_WG08_0,LProtundatus_F114_WG08,Lithocarpus_rotundatus,Y,Lithocarpus,LP
LPsilvicolarum_P001_WC05_0,LPsilvicolarum_P001_WC05,Lithocarpus_silvicolarum,Y,Lithocarpus,LP
